"Target","Source","Traffic Share","Traffic","Difference","Destination","Traffic Share","Traffic","Difference"
"mobilityzone.com.au","mobilityzone.com.au","55.32%","525","5.42%","n/a","n/a","n/a","n/a"
"","google.com","20.65%","196","216.13%","n/a","n/a","n/a","n/a"
"","bing.com","12.01%","114","100%","n/a","n/a","n/a","n/a"
"","locomo.com.au","12.01%","114","100%","n/a","n/a","n/a","n/a"
"daily.com.au","google.com","67.25%","3,507","54.29%","facebook.com","58.2%","220","100%"
"","daily.com.au","16.66%","869","-92.9%","health.gov.au","41.8%","158","100%"
"","bing.com","5.93%","309","100%","n/a","n/a","n/a","n/a"
"","google.com","5.47%","285","-43.23%","n/a","n/a","n/a","n/a"
"","vic.gov.au","3.03%","158","100%","n/a","n/a","n/a","n/a"
"astris-pme.com.au","google.com","81.94%","8,009","140.37%","hubspot.com","36.8%","170","100%"
"","astris-pme.com.au","11.25%","1,100","-25.98%","etac.com","31.6%","146","100%"
"","amemobility.com.au","3.75%","367","100%","google.com","31.6%","146","100%"
"","mail.google.com","1.56%","152","100%","n/a","n/a","n/a","n/a"
"","aidacare.com.au","1.49%","146","100%","n/a","n/a","n/a","n/a"
"xtracareequipment.com.au","google.com","100%","40","100%","n/a","n/a","n/a","n/a"
"alphalifecare.com.au","alphalifecare.com.au","46.02%","1,700","131.29%","google.com","78.07%","146","-40.89%"
"","google.com","37.52%","1,386","-37.2%","alpha.global","21.93%","41","100%"
"","force.com","9.37%","346","100%","n/a","n/a","n/a","n/a"
"","sharepoint.com","3.95%","146","100%","n/a","n/a","n/a","n/a"
"","zaubacorp.com","3.14%","116","100%","n/a","n/a","n/a","n/a"
