"Target","Source","Traffic Share","Traffic","Difference","Destination","Traffic Share","Traffic","Difference"
"novis.com.au","google.com","57.09%","2,960","4.41%","microsoft.com","43.77%","137","100%"
"","novis.com.au","26.29%","1,363","213.33%","patienthandling.com.au","33.55%","105","-2.78%"
"","padlet.org","4.22%","219","-24.48%","youtube.com","22.68%","71","100%"
"","google.com.au","3.9%","202","100%","n/a","n/a","n/a","n/a"
"","unsw.edu.au","2.57%","133","100%","n/a","n/a","n/a","n/a"
"keepmoving.com.au","google.com","100%","479","185.12%","n/a","n/a","n/a","n/a"
"patienthandling.com.au","patienthandling.com.au","79.23%","24,404","240.6%","n/a","n/a","n/a","n/a"
"","google.com","20.14%","6,202","288.6%","n/a","n/a","n/a","n/a"
"","novis.com.au","0.34%","105","-2.78%","n/a","n/a","n/a","n/a"
"","duckduckgo.com","0.18%","54","-74.88%","n/a","n/a","n/a","n/a"
"","bing.com","0.12%","37","100%","n/a","n/a","n/a","n/a"
"independenceaustralia.com.au","independenceaustralia.com.au","61.55%","22,757","61.45%","independenceaustralia.com","64.3%","2,757","6.04%"
"","google.com","25.52%","9,438","154.94%","sasi.org.au","15.11%","648","193.21%"
"","google.com","6.66%","2,464","25.2%","myia.com.au","4.8%","206","-65.08%"
"","independenceaustralia.com","0.86%","317","-65.01%","zestcare.net.au","3.61%","155","-90.44%"
"","chemistwarehouse.com.au","0.56%","206","100%","griffith.edu.au","3.59%","154","100%"
