Store,Address,Phone Number,Type,Latitude,Longitude
Rockhampton,152 George St Rockhampton City QLD 4700,07 4882 0788,ILS,-23.3816609,150.5057822
Auburn,6/191 Parramatta Road entry is via 134 Adderley St West,02 9721 3884,ILS,-33.8390932,151.0355126
Ascot Vale,198 Union Rd Ascot Vale VIC 3032,(03) 6164 0210,ILS,-37.7737624,144.9160716
Ballarat,206 Creswick Rd Ballarat Central VIC 3350,03 5333 4006,ILS,-37.5531947,143.8531845
Ballina,44 Bangalow Road Ballina NSW 2478,02 6686 7570,ILS,-28.8583856,153.5608313
Bankstown,242 Chapel Road Bankstown NSW 2200,02 9064 1587,ILS,-33.9214888,151.0309076
Batemans Bay,23a Vesper St Batemans Bay NSW 2536,02 4472 1044,ILS,-35.7114688,150.1744856
Bathurst,115 Bentinck Street Bathurst NSW 2795,02 6332 6453,ILS,-33.4208196,149.5801488
Bayswater,270 Canterbury Rd Bayswater VIC 3153,03 9726 2000,ILS,-37.830556,145.2722825
Bega,Rooftop Level Sapphire Marketplace 2/83 Upper Street Bega NSW 2550,02 6492 3888,ILS,-36.6768019,149.8414643
Benalla,14a Sydney Rd Benalla VIC 3672,03 5762 1125,ILS,-36.5484522,145.9990661
Box Hill,1109-1113 Whitehorse Road Box Hill VIC 3128,03 9044 3371,ILS,-37.81894,145.1345244
Bundaberg,Shops 2 & 3 – 19 Electra St Bundaberg QLD 4670,07 4426 8600,ILS,-24.8705414,152.3492871
Campbelltown,Shop 1C 1 Tindall Street Campbelltown NSW 2560,02 4625 3992,ILS,-34.0726822,150.8025872
Cairns,1/165 English Street Manunda QLD 4870,07 4032 5715,ILS,-16.9172,145.7469177
Capalaba,Shop C/1 Moreton Bay Road Capalaba QLD 4157,07 4593 5353,ILS,-27.5225702,153.2005914
Caringbah,332 Kingsway Caringbah NSW 2229,02 9064 1586,ILS,-34.0422237,151.1218613
Castle Hill,30/9 Hoyle Avenue Castle Hill NSW 2154,02 9659 9750,ILS,-33.7322925,150.9847288
Caulfield,652 Glen Huntly Rd Caulfield VIC 3162,1300 005 333,ILS,-37.886493,145.0171234
Coffs Harbour,26-27/75-83 Park Beach Road Coffs Harbour NSW 2450,02 9064 8648,ILS,-30.285548,153.1328587
Coorparoo,1/318 Old Cleveland Road Coorparoo QLD 4151,07 3046 2389,ILS,-27.4942173,153.059451
Dandenong,Shop 39B Langhorne Street Dandenong VIC 3175,03 9115 6777,ILS,-37.98860000000001,145.2165326
